"year","total_prison_pop_per_year","female_prison_pop_per_year","male_prison_pop_per_year","aapi_prison_pop_per_year","black_prison_pop_per_year","latinx_prison_pop_per_year","native_prison_pop_per_year","white_prison_pop_per_year"
1970,6635,117,4802,0,3171,0,0,1666
1971,8607,212,6055,0,3894,0,0,2315
1972,8914,231,6345,0,4229,0,0,2275
1973,9764,271,7261,0,4878,0,0,2601
1974,10661,353,7990,0,5261,0,0,3033
1975,12040,394,8685,0,5872,0,0,3158
1976,12379,425,8974,0,6082,0,0,3267
1977,12747,454,9359,0,6240,0,0,3546
1978,12276,480,9339,0,6109,0,0,3666
1979,13121,481,9848,0,6287,0,0,4016
1980,13205,508,10159,0,6393,0,0,4243
1981,13438,568,10472,0,6638,0,0,4347
1982,15402,609,11787,0,7444,0,0,4913
1983,260938,9489,225452,0,122047,19257,1056,94318
1984,315150.28,11728,254235,0,130358,24195,1653,113994
1985,350970.21,13250,284903,0,143167,28409,1708,128813
1986,380616.14,14188,287043,0,140737,33493,1796,125437
1987,406955.66,14583,289951,0,138726,37958,1402,122961
1988,511066.09,21849,428426,51,220816,56534,1735,165273
1989,563042.79,18553,356126,66,191672,35225,1477,135304
1990,610946.16,19278,341037,110,181379,25483,1634,136705
1991,668292.42,30122,522246,149,281277,62146,2882,188829
1992,712880.4,31787,552560,620,285429,87124,2642,182989
1993,754985.89,35184,591127,764,306827,90260,2371,196195
1994,813551.8,39405,648146,1201,333638,96418,2856,216335
1995,872996.59,49003,749890,1336,390608,109239,3002,252731
1996,916286.800000001,43181,685720,1598,356096,87845,3199,231115
1997,951445.71,43484,686840,1737,354770,88522,3575,226514
1998,987992.89,45174,704877,1926,367935,91810,3540,229407
1999,1041733.03,51570,793317,3384,410032,113156,5570,265782
2000,1045192.05,50334,738369,4841,377525,112297,7677,280734
2001,1063226.05,49881,744956,4842,376374,111885,8185,287200
2002,1114556.38,56109,811191,5207,407687,121628,8565,317103
2003,1141332.08,58580,828018,5611,407293,126665,9078,329924
2004,1166520.13,60977,842986,5632,409321,130041,9743,341102
2005,1195052.95,76581,1012349,5725,471700,181790,10319,409688
2006,1223574.45,79977,1041328,5750,482519,188219,10814,422566
2007,1244684.43,83406,1072428,6341,492919,195710,11588,437016
2008,1251848.66,83815,1075403,6297,495306,199806,11586,434152
2009,1260878.62,82632,1096354,6468,495544,205732,11659,446070
2010,1257069.52,82697,1092036,6203,488969,205567,11705,448158
2011,1239461.54,82180,1097521,4199,494210,199229,11656,456958
2012,1218175.4,80461,1080431,5993,482376,190366,11585,455441
2013,1218724,85292,1117366,5857,501201,192819,12005,475442
2014,1171260,83740,1072488,5884,468174,191978,12658,461128
2015,1089618,79027,996867,7856,428963,182027,12643,429037
2016,1046289,77207,955982,4388,405266,180524,12543,415876
2017,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0
